ID_code,price,carat,cut,color,clarity,depth,table,x,y,z
train_1,878,0.3,Premium,G,VVS2,62.9,55.0,4.28,4.24,2.68
train_2,3183,0.7,Premium,D,VS1,60.9,60.0,5.75,5.71,3.49
train_3,624,0.3,Ideal,G,VS1,62.0,56.0,4.29,4.32,2.67
train_4,743,0.33,Premium,H,VS1,61.9,58.0,4.45,4.43,2.75
train_5,526,0.25,Very Good,F,IF,63.3,59.0,3.99,4.04,2.54
train_6,8011,1.02,Good,F,VS1,62.6,54.3,6.41,6.45,4.02
train_7,2762,0.71,Ideal,G,VS2,62.4,54.0,5.72,5.76,3.58
train_8,422,0.3,Ideal,I,SI1,61.7,57.0,4.3,4.32,2.66
train_9,8148,1.5,Premium,H,SI2,60.8,58.0,7.39,7.34,4.48
train_10,742,0.3,Ideal,E,VVS2,62.3,54.0,4.31,4.36,2.7
train_11,13554,2.02,Very Good,G,SI2,63.3,59.0,8.05,7.96,5.07
train_12,1598,0.5,Very Good,H,VS1,61.0,56.0,5.1,5.13,3.12
train_13,531,0.37,Ideal,G,SI1,61.1,56.0,4.64,4.66,2.84
train_14,4326,0.92,Good,F,SI1,64.0,56.0,6.12,6.17,3.93
train_15,977,0.31,Ideal,G,VVS1,62.8,57.0,4.33,4.3,2.71
train_16,787,0.47,Ideal,H,SI1,61.1,55.0,5.04,5.07,3.09
train_17,9141,1.61,Ideal,J,VS2,61.6,56.0,7.52,7.54,4.64
train_18,11531,1.31,Ideal,G,VVS2,60.9,56.0,7.17,7.07,4.32
train_19,2770,0.73,Premium,G,VS1,61.5,58.0,5.79,5.75,3.55
train_20,8888,1.0,Premium,E,VVS2,61.6,59.0,6.42,6.46,3.97
train_21,5206,1.16,Ideal,G,SI2,,54.0,6.75,6.78,4.16
train_22,675,0.3,Ideal,G,VS2,62.3,56.0,4.3,4.27,2.67
train_23,6559,1.27,Very Good,I,SI1,60.7,61.0,6.97,6.91,4.21
train_24,4439,0.7,Ideal,F,VVS2,61.5,56.0,5.7,5.78,3.53
train_25,12284,2.12,Ideal,I,SI1,62.2,57.0,8.21,8.14,5.08
train_26,16857,2.06,Premium,F,SI2,61.7,59.0,8.21,8.13,5.04
train_27,4956,1.0,Premium,G,SI1,63.0,59.0,6.44,6.32,4.02
train_28,13152,1.71,Very Good,F,SI1,63.3,53.0,7.54,7.59,4.79
train_29,2489,0.74,Ideal,E,SI1,62.6,56.0,5.74,5.7,3.58
train_30,1125,0.4,Ideal,H,VVS2,62.4,57.0,4.73,4.69,2.94
train_31,2588,0.73,Ideal,F,SI2,61.9,55.0,5.78,5.82,3.59
train_32,2203,0.51,Ideal,F,VVS2,61.2,56.0,5.19,5.17,3.17
train_33,1063,0.35,Ideal,D,VS2,60.9,57.0,4.55,4.51,2.76
train_34,2573,0.7,Very Good,F,SI1,59.4,59.0,5.75,5.8,3.43
train_35,8064,1.5,Premium,E,SI2,61.5,59.0,7.3,7.23,4.47
train_36,1773,0.61,Very Good,I,VVS2,62.0,54.4,5.47,5.51,3.4
train_37,8669,1.37,Premium,H,VS1,62.9,58.0,7.12,7.07,4.46
train_38,643,0.33,Good,F,VS2,59.5,61.0,4.49,4.54,2.68
train_39,2885,1.01,Premium,I,SI1,62.7,60.0,6.36,6.27,3.96
train_40,713,0.33,Ideal,G,VVS2,62.3,56.0,4.43,4.47,2.77
train_41,1815,0.52,Ideal,E,VS2,61.7,55.0,5.21,5.16,3.2
train_42,981,0.4,Good,E,VVS2,57.7,62.0,4.82,4.88,2.8
train_43,928,0.33,Ideal,E,VS2,,55.0,4.48,4.46,2.74
train_44,3697,0.92,Ideal,G,SI2,63.0,57.0,6.16,6.13,3.87
train_45,911,0.3,Premium,E,VS1,61.9,60.0,4.3,4.26,2.65
train_46,12182,2.01,Premium,I,SI2,62.3,59.0,8.01,7.97,4.98
train_47,3473,0.9,Good,D,SI2,60.3,64.0,6.14,6.1,3.69
train_48,862,0.35,Ideal,D,VS1,60.1,57.0,4.58,4.61,2.76
train_49,7296,1.03,Ideal,F,VS1,60.7,56.0,6.54,6.6,3.99
train_50,1583,0.5,Premium,E,VS2,63.0,58.0,5.07,5.02,3.18
train_51,4118,0.8,Very Good,E,VS1,60.7,60.0,6.0,6.09,3.67
train_52,4988,1.02,Ideal,G,SI1,62.2,57.0,6.43,6.49,4.02
train_53,4885,1.18,Ideal,E,SI2,60.8,57.0,6.89,6.83,4.17
train_54,8666,1.6,Fair,D,SI2,64.7,58.0,7.35,7.28,4.73
train_55,11161,1.71,Premium,H,VS1,58.1,62.0,8.02,7.84,4.61
train_56,544,0.31,Good,G,VS2,63.4,59.0,4.29,4.32,2.73
train_57,579,0.33,Very Good,G,VS2,59.4,61.0,4.49,4.53,2.68
train_58,864,0.32,Ideal,I,IF,62.2,57.0,4.37,4.35,2.71
train_59,1857,0.53,Ideal,D,VS2,61.5,56.0,5.17,5.23,3.2
train_60,917,0.4,Ideal,G,VVS2,62.4,57.0,4.7,4.73,2.94
train_61,13653,1.5,Ideal,F,VS2,60.2,57.0,7.43,7.39,4.46
train_62,770,0.36,Premium,F,SI1,61.6,60.0,4.61,4.54,2.82
train_63,1316,0.5,Very Good,E,SI1,60.7,61.0,5.09,5.12,3.1
train_64,3667,0.73,Ideal,G,VVS1,61.3,56.0,5.79,5.82,3.56
train_65,8196,1.48,Very Good,I,VS2,63.0,58.0,7.16,7.19,4.52
train_66,2297,0.53,Very Good,E,VVS2,60.7,59.0,5.19,5.28,3.18
train_67,4619,1.01,Very Good,F,SI1,63.0,58.0,6.31,6.39,4.0
train_68,6587,1.01,Premium,F,VS2,61.6,59.0,6.39,6.43,3.95
train_69,5577,1.04,Ideal,H,VS1,62.7,57.0,6.42,6.46,4.04
train_70,559,0.24,Ideal,G,IF,61.7,56.0,3.99,4.01,2.47
train_71,4513,0.93,Very Good,G,SI1,61.7,56.0,6.22,6.26,3.85
train_72,9997,1.06,Very Good,E,VVS2,61.8,58.0,6.52,6.56,4.04
train_73,2095,0.7,Very Good,G,SI1,62.2,58.0,5.63,5.66,3.51
train_74,2453,0.7,Ideal,E,SI2,62.1,56.0,5.65,5.68,3.52
train_75,4159,1.02,Good,G,SI2,,58.0,6.48,6.55,3.9
train_76,900,0.32,Ideal,E,VS2,61.5,55.0,4.43,4.38,2.71
train_77,540,0.3,Very Good,H,SI1,63.4,58.0,4.29,4.26,2.71
train_78,8681,1.51,Fair,G,SI1,65.0,59.0,6.99,7.07,4.57
train_79,4368,1.04,Premium,H,SI1,,59.0,6.59,6.55,3.97
train_80,1654,0.53,Premium,E,SI1,62.2,56.0,5.22,5.16,3.23
train_81,796,0.27,Ideal,F,IF,61.8,55.0,4.16,4.19,2.58
train_82,1382,0.61,Premium,H,SI1,59.5,62.0,5.55,5.51,3.29
train_83,596,0.35,Good,F,VS2,57.9,60.0,4.65,4.68,2.7
train_84,11205,1.38,Ideal,F,VS2,61.9,55.0,7.16,7.12,4.42
train_85,2797,0.71,Premium,D,SI1,61.3,58.0,5.73,5.75,3.52
train_86,4695,1.13,Fair,I,VS2,55.9,67.0,7.05,6.94,3.9
train_87,2323,0.81,Ideal,I,SI1,62.2,57.0,5.95,5.98,3.71
train_88,620,0.27,Very Good,E,VVS1,59.9,57.0,4.23,4.25,2.54
train_89,5646,1.01,Ideal,F,SI1,62.3,58.0,6.35,6.42,3.98
train_90,706,0.35,Premium,G,VS1,61.5,58.0,4.5,4.54,2.78
train_91,847,0.42,Premium,G,VS2,59.8,58.0,4.86,4.9,2.92
train_92,2117,0.7,Fair,I,VVS2,64.7,55.0,5.62,5.51,3.6
train_93,432,0.27,Ideal,I,VS1,61.9,54.0,4.14,4.19,2.58
train_94,1267,0.38,Premium,E,VVS1,61.9,58.0,4.62,4.66,2.87
train_95,844,0.37,Ideal,E,VVS2,62.2,56.0,4.6,4.63,2.87
train_96,1050,0.33,Very Good,D,VVS2,60.8,58.0,4.47,4.48,2.72
train_97,5775,1.0,Premium,D,SI1,61.4,58.0,6.37,6.43,3.93
train_98,15939,2.01,Premium,I,VS2,60.3,62.0,8.13,8.08,4.89
train_99,2893,0.75,Ideal,F,VS2,62.5,57.0,5.78,5.83,3.63
train_100,6616,1.1,Ideal,H,VVS2,59.7,58.0,6.76,6.7,4.01
train_101,828,0.28,Ideal,E,VVS2,62.4,56.0,4.2,4.16,2.61
train_102,1066,0.38,Ideal,D,SI1,62.2,54.0,4.69,4.65,2.9
train_103,7316,1.42,Premium,H,SI2,61.6,58.0,7.22,7.17,4.43
train_104,3582,0.71,Ideal,D,VS1,61.5,58.0,5.75,5.77,3.54
train_105,1778,0.57,Premium,E,VS2,63.0,59.0,5.29,5.25,3.32
train_106,4081,0.93,Premium,F,SI1,62.5,58.0,6.19,6.22,3.88
train_107,15729,2.01,Ideal,I,VS2,64.8,55.0,7.91,7.87,5.12
train_108,784,0.37,Very Good,E,VS1,63.5,59.0,4.55,4.59,2.9
train_109,5975,1.2,Good,H,SI1,63.6,57.0,6.79,6.74,4.3
train_110,558,0.31,Premium,H,SI1,62.7,58.0,4.34,4.31,2.71
train_111,10141,1.11,Very Good,F,VVS1,59.7,55.0,6.77,6.82,4.06
train_112,513,0.31,Ideal,H,VS2,62.1,55.0,4.34,4.36,2.7
train_113,630,0.35,Premium,I,VS2,62.9,57.0,4.53,4.5,2.84
train_114,574,0.34,Premium,F,SI2,61.7,61.0,4.48,4.44,2.75
train_115,13598,2.11,Premium,G,SI2,62.2,58.0,8.19,8.23,5.11
train_116,13732,2.08,Very Good,J,VS2,60.6,61.0,8.24,8.34,5.02
train_117,8658,1.02,Ideal,D,VS1,62.0,56.0,6.46,6.5,4.02
train_118,1624,0.5,Premium,G,VS1,62.2,59.0,5.04,5.09,3.15
train_119,13502,2.02,Fair,H,SI1,66.3,57.0,7.71,7.79,5.14
train_120,12738,1.52,Premium,G,VS2,60.9,61.0,7.41,7.38,4.5
train_121,835,0.36,Ideal,E,VS1,,54.0,4.59,4.63,2.83
train_122,6278,1.54,Premium,I,SI2,61.5,61.0,7.41,7.31,4.53
train_123,1334,0.85,Fair,J,I1,65.5,59.0,5.95,5.82,3.86
train_124,9461,1.12,Ideal,F,VVS2,61.4,57.0,6.66,6.69,4.1
train_125,481,0.34,Ideal,D,SI2,61.4,56.0,4.5,4.55,2.78
train_126,5390,1.0,Premium,D,SI1,61.5,60.0,6.34,6.38,3.91
train_127,3217,0.71,Ideal,D,VS2,62.5,55.0,5.71,5.74,3.58
train_128,2447,0.57,Ideal,E,VVS2,61.5,56.0,5.31,5.35,3.28
train_129,1270,0.57,Very Good,J,VS1,62.9,57.0,5.25,5.28,3.31
train_130,2341,0.51,Premium,F,VVS1,62.6,57.0,5.1,5.06,3.18
train_131,605,0.3,Very Good,G,VS1,62.8,59.0,4.23,4.27,2.67
train_132,17999,2.35,Premium,H,SI1,62.6,60.0,8.42,8.38,5.26
train_133,810,0.42,Premium,D,SI1,62.1,59.0,4.77,4.79,2.97
train_134,4446,1.07,Good,F,SI2,61.3,65.0,6.59,6.41,4.0
train_135,3332,0.92,Ideal,J,VS1,62.4,56.0,6.23,6.19,3.88
train_136,6720,1.5,Ideal,G,SI2,63.0,57.0,7.31,7.2,4.57
train_137,1061,0.41,Ideal,G,VS2,62.7,56.0,4.77,4.74,2.98
train_138,11198,2.0,Premium,F,SI2,,62.0,8.19,7.84,4.86
train_139,673,0.4,Ideal,E,SI1,62.2,54.0,4.74,4.78,2.96
